GENERALIZED BORN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
13,1505.4942,3734.9543,4395.7368,0.0,0.0,0.0,-3278.4968,-27758.7778,4676.3199,15549.7912,-5557.2939,160.89134112,-1174.9781999999977,-5396.40255888,-6571.380758879997
14,1544.8825,3691.5386,4350.0179,0.0,0.0,0.0,-3373.7731,-27627.985,4584.9161,15538.4339,-5582.4461,157.38116184,-1291.9690999999984,-5425.06493816,-6717.034038159998
15,1538.2394,3755.68,4370.0224,0.0,0.0,0.0,-3336.498,-27748.7031,4555.7252,15501.1662,-5458.6468,158.06308752,-1364.3678999999975,-5300.58371248,-6664.9516124799975
16,1464.9671,3700.6368,4376.6893,0.0,0.0,0.0,-3347.5934,-27772.3052,4617.081,15652.0044,-5513.7648,159.26606568,-1308.5200000000023,-5354.49873432,-6663.018734320002
17,1466.9594,3754.6342,4363.9155,0.0,0.0,0.0,-3380.8786,-27466.2533,4628.1663,15542.0075,-5744.3845,159.71195448,-1091.4490000000005,-5584.67254552,-6676.121545520001
18,1525.1495,3745.9759,4379.3627,0.0,0.0,0.0,-3338.1701,-27776.4104,4531.0513,15473.4177,-5425.7333,158.65998119999998,-1459.6234000000022,-5267.0733187999995,-6726.696718800002
19,1519.4533,3638.9277,4404.5201,0.0,0.0,0.0,-3323.9516,-27394.2424,4671.3357,15567.5846,-5816.2679,160.10410176,-916.3726000000006,-5656.16379824,-6572.53639824
20,1563.7359,3673.4521,4412.344,0.0,0.0,0.0,-3351.1688,-27679.5102,4616.9213,15610.6991,-5653.2993,156.88641528,-1153.5266000000029,-5496.41288472,-6649.939484720003
21,1566.6955,3854.1278,4409.9265,0.0,0.0,0.0,-3384.9065,-27253.0904,4588.0766,15545.1304,-5893.2265,159.63238008,-674.0401000000002,-5733.59411992,-6407.63421992
22,1542.5254,3761.0565,4385.8222,0.0,0.0,0.0,-3307.3283,-27676.9963,4592.5991,15552.2269,-5561.1623,156.89489759999998,-1150.094500000001,-5404.2674024,-6554.361902400001
23,1599.4136,3732.3791,4404.1941,0.0,0.0,0.0,-3316.9071,-27369.6804,4579.4692,15456.9456,-5799.9803,159.80584176,-914.185900000004,-5640.174458240001,-6554.360358240005
24,1490.4437,3733.9345,4410.4523,0.0,0.0,0.0,-3310.1551,-27579.1593,4599.4791,15491.4077,-5640.5591,160.95000384,-1163.597099999999,-5479.60909616,-6643.206196159999
25,1585.13,3711.9642,4434.9078,0.0,0.0,0.0,-3344.5882,-27878.1908,4655.7887,15683.2387,-5463.103,155.89708632,-1151.749600000001,-5307.20591368,-6458.955513680001
26,1553.2335,3707.2124,4434.0686,0.0,0.0,0.0,-3313.9525,-27344.695,4585.4259,15473.4797,-5765.8655,161.03152728,-905.2274000000016,-5604.83397272,-6510.061372720002
27,1539.9055,3734.9576,4368.1919,0.0,0.0,0.0,-3318.3031,-27605.3891,4618.0531,15588.0205,-5641.5565,161.47865088,-1074.5635999999995,-5480.07784912,-6554.641449119999
28,1602.9409,3657.2185,4386.8236,0.0,0.0,0.0,-3367.6779,-27433.234,4598.9017,15509.3174,-5763.1378,158.70457439999998,-1045.709799999997,-5604.433225600001,-6650.143025599998
29,1540.0799,3765.167,4388.2688,0.0,0.0,0.0,-3336.5201,-27644.153,4600.5732,15563.279,-5636.9224,160.20040895999998,-1123.305199999997,-5476.721991040001,-6600.027191039998
30,1487.913,3736.7063,4398.0871,0.0,0.0,0.0,-3380.9615,-27436.5377,4503.2601,15536.308,-5772.8014,157.22479152,-1155.2247000000025,-5615.576608480001,-6770.801308480003
31,1577.4078,3798.5466,4352.0068,0.0,0.0,0.0,-3291.987,-27505.1228,4514.6704,15403.9462,-5716.9354,160.11029664,-1150.532000000001,-5556.82510336,-6707.357103360001
32,1523.7248,3761.1912,4398.6382,0.0,0.0,0.0,-3339.7282,-27551.9425,4611.6121,15488.8123,-5640.9568,159.56617104,-1107.6920999999984,-5481.39062896,-6589.082728959998
33,1539.9068,3714.9511,4410.5469,0.0,0.0,0.0,-3289.9096,-27720.0459,4687.1154,15622.1436,-5624.7516,159.46833024,-1035.2917000000016,-5465.28326976,-6500.574969760001
34,1565.0537,3703.4645,4394.0768,0.0,0.0,0.0,-3350.7605,-27646.3,4654.8669,15562.6262,-5571.4861,162.40526064,-1116.972399999997,-5409.08083936,-6526.053239359997
35,1550.2231,3758.5077,4396.8732,0.0,0.0,0.0,-3306.4662,-27618.4617,4626.8434,15521.4635,-5626.1061,163.44162359999999,-1071.016999999998,-5462.6644764,-6533.681476399998
36,1511.7859,3687.7663,4365.8145,0.0,0.0,0.0,-3328.154,-27901.5739,4593.3212,15559.1828,-5386.5946,159.72549623999998,-1511.8572000000004,-5226.86910376,-6738.7263037600005
37,1589.738,3627.8722,4440.1295,0.0,0.0,0.0,-3333.2642,-27699.857,4641.5117,15566.1391,-5574.1789,155.69468424,-1167.7307,-5418.48421576,-6586.21491576
38,1551.8185,3734.7837,4405.5126,0.0,0.0,0.0,-3333.0743,-27736.5554,4545.3603,15656.8158,-5614.236,160.95372551999998,-1175.3388000000014,-5453.28227448,-6628.621074480001
39,1536.104,3730.3891,4404.8723,0.0,0.0,0.0,-3324.9943,-27617.045,4672.6574,15502.7036,-5614.9928,159.973254,-1095.3129000000008,-5455.0195459999995,-6550.332446
40,1573.225,3750.2978,4409.1489,0.0,0.0,0.0,-3283.9913,-27629.9833,4636.1086,15491.3967,-5520.3644,159.77370456,-1053.7976000000035,-5360.590695440001,-6414.388295440004
41,1514.6298,3665.3681,4380.9785,0.0,0.0,0.0,-3315.2485,-27509.4438,4693.6644,15640.7587,-5707.6961,164.1064716,-929.2928000000011,-5543.5896284,-6472.882428400001
42,1491.9571,3661.8405,4432.9961,0.0,0.0,0.0,-3321.4721,-27584.1986,4654.9259,15556.6472,-5677.8424,161.07694991999998,-1107.303899999999,-5516.765450080001,-6624.06935008
43,1532.5596,3682.2178,4443.3632,0.0,0.0,0.0,-3357.0075,-27901.0001,4627.4345,15560.4121,-5379.2783,156.54706847999998,-1412.020400000003,-5222.73123152,-6634.751631520003
44,1527.3987,3712.2905,4460.1113,0.0,0.0,0.0,-3331.7473,-27650.478,4651.2957,15538.2269,-5571.3756,159.31556856,-1092.9022000000023,-5412.06003144,-6504.962231440002
45,1542.435,3714.0878,4393.5668,0.0,0.0,0.0,-3325.5559,-27629.4757,4592.1173,15538.9835,-5620.4733,156.36618,-1173.8411999999971,-5464.10712,-6637.948319999997
46,1557.187,3746.0667,4406.0495,0.0,0.0,0.0,-3333.0012,-27639.1782,4628.7655,15587.8337,-5600.4736,155.23606944,-1046.2769999999982,-5445.23753056,-6491.514530559998
47,1542.9462,3702.5922,4428.5479,0.0,0.0,0.0,-3336.2521,-27790.687,4626.5675,15463.6576,-5361.3042,158.3113932,-1362.627699999999,-5202.9928068,-6565.620506799999
48,1514.974,3797.7441,4419.8641,0.0,0.0,0.0,-3356.2145,-27464.6671,4639.8787,15368.6636,-5576.0917,159.44203656,-1079.7570999999953,-5416.64966344,-6496.406763439995
49,1556.2558,3753.3844,4379.4743,0.0,0.0,0.0,-3313.1145,-27699.5231,4561.0012,15470.6861,-5445.9787,156.49507943999998,-1291.835799999999,-5289.4836205599995,-6581.319420559998

